Image,Dice Score,IoU,Recall,Hausdorff Distance
image_0,,,0.0,0.0
image_1,0.0,0.0,0.0,4.69041575982343
image_2,,,0.0,0.0
image_3,0.9189794862954663,0.45948974314773317,0.8659844054580896,3.1622776601683795
image_4,,,0.0,0.0
image_5,,,0.0,0.0
image_6,0.8278608050616342,0.4139304025308171,0.7915102211097205,6.244997998398398
image_7,,,0.0,0.0
image_8,0.9318097876269621,0.46590489381348105,0.9744592506759366,5.744562646538029
image_9,,,0.0,0.0
image_10,0.7767653758542141,0.38838268792710706,0.9990234375,4.69041575982343
image_11,,,0.0,0.0
image_12,,,0.0,0.0
image_13,,,0.0,0.0
image_14,,,0.0,0.0
image_15,,,0.0,0.0
image_16,0.8965646004480956,0.4482823002240478,0.9615966536133855,6.557438524302
image_17,0.0,0.0,0.0,5.291502622129181
image_18,,,0.0,0.0
image_19,,,0.0,0.0
image_20,,,0.0,0.0
image_21,0.8124068554396423,0.40620342771982115,0.8980642504118617,5.196152422706632
image_22,0.8477806181733675,0.42389030908668374,0.8880233690360273,5.916079783099616
image_23,,,0.0,0.0
image_24,,,0.0,0.0
image_25,0.7149304928687489,0.35746524643437444,1.0,3.3166247903554
image_26,,,0.0,0.0
image_27,,,0.0,0.0
image_28,,,0.0,0.0
image_29,,,0.0,0.0
image_30,0.656409322651129,0.3282046613255645,0.9649357601713062,5.830951894845301
image_31,,,0.0,0.0
image_32,,,0.0,0.0
image_33,,,0.0,0.0
image_34,0.0,0.0,0.0,8.774964387392123
image_35,,,0.0,0.0
image_36,0.0,0.0,0.0,6.48074069840786
image_37,,,0.0,0.0
image_38,,,0.0,0.0
image_39,,,0.0,0.0
image_40,0.0,0.0,0.0,4.69041575982343
image_41,,,0.0,0.0
image_42,0.0,0.0,0.0,6.48074069840786
image_43,0.8796620046620046,0.4398310023310023,0.9387437810945274,3.7416573867739413
image_44,,,0.0,0.0
image_45,,,0.0,0.0
image_46,,,0.0,0.0
image_47,0.8930232558139535,0.44651162790697674,0.9950248756218906,3.605551275463989
image_48,,,0.0,0.0
image_49,,,0.0,0.0
image_50,0.8752095362264853,0.43760476811324267,0.8267065446868402,4.123105625617661
image_51,0.79859004836462,0.39929502418231,0.9908462164361269,4.795831523312719
image_52,,,0.0,0.0
image_53,,,0.0,0.0
image_54,,,0.0,0.0
image_55,0.4917811683385316,0.2458905841692658,0.9841430499325237,5.830951894845301
image_56,0.0,0.0,0.0,2.23606797749979
image_57,,,0.0,0.0
image_58,,,0.0,0.0
image_59,,,0.0,0.0
image_60,,,0.0,0.0
image_61,0.0,0.0,0.0,6.324555320336759
image_62,,,0.0,0.0
image_63,,,0.0,0.0
image_64,,,0.0,0.0
image_65,,,0.0,0.0
image_66,0.7556330138180007,0.37781650690900037,0.9253048780487805,6.0
image_67,,,0.0,0.0
image_68,,,0.0,0.0
image_69,0.9521114497170222,0.4760557248585111,0.9644983461962514,5.0990195135927845
image_70,,,0.0,0.0
image_71,,,0.0,0.0
image_72,,,0.0,0.0
image_73,0.9609011155637388,0.4804505577818694,0.9816331046691746,3.1622776601683795
image_74,0.0,0.0,0.0,7.3484692283495345
image_75,,,0.0,0.0
image_76,,,0.0,0.0
image_77,,,0.0,0.0
image_78,,,0.0,0.0
image_79,0.9388204795852236,0.4694102397926118,0.936271975180972,4.123105625617661
image_80,0.9048538137107728,0.4524269068553864,0.9995262160454833,5.385164807134504
image_81,0.9102641056422569,0.45513205282112845,0.9976973684210526,2.6457513110645907
image_82,,,0.0,0.0
image_83,,,0.0,0.0
image_84,,,0.0,0.0
image_85,,,0.0,0.0
image_86,0.0,0.0,0.0,5.477225575051661
image_87,0.0,0.0,0.0,6.164414002968976
image_88,,,0.0,0.0
image_89,,,0.0,0.0
image_90,0.8793964509616407,0.4396982254808203,0.9447488584474886,5.291502622129181
image_91,0.95984110235243,0.479920551176215,0.9679519278918377,3.4641016151377544
image_92,0.0,0.0,0.0,5.744562646538029
image_93,,,0.0,0.0
image_94,,,0.0,0.0
image_95,,,0.0,0.0
image_96,,,0.0,0.0
image_97,0.8400947799238888,0.4200473899619444,0.993546195652174,3.872983346207417
image_98,0.9367119106899044,0.4683559553449522,0.9897318397827563,4.47213595499958
