Image,Dice Score,IoU,Recall,Hausdorff Distance
image_0,,,0.0,0.0
image_1,0.3022670025188917,0.15113350125944586,0.20270270270270271,4.123105625617661
image_2,,,0.0,0.0
image_3,0.9267523849025301,0.46337619245126505,0.9074074074074074,3.3166247903554
image_4,,,0.0,0.0
image_5,,,0.0,0.0
image_6,0.8147633923406224,0.4073816961703112,0.7344597413433458,5.916079783099616
image_7,,,0.0,0.0
image_8,0.9049064126702846,0.4524532063351423,0.9861915797605253,5.656854249492381
image_9,,,0.0,0.0
image_10,0.7944400939702427,0.39722004698512137,0.99072265625,4.69041575982343
image_11,,,0.0,0.0
image_12,,,0.0,0.0
image_13,,,0.0,0.0
image_14,,,0.0,0.0
image_15,,,0.0,0.0
image_16,0.8834805526386229,0.44174027631931145,0.9546991812032752,6.782329983125268
image_17,0.0,0.0,0.0,5.291502622129181
image_18,,,0.0,0.0
image_19,,,0.0,0.0
image_20,,,0.0,0.0
image_21,0.8403608139290959,0.42018040696454795,0.8249588138385503,5.385164807134504
image_22,0.8754133133695178,0.4377066566847589,0.8539435248296008,5.744562646538029
image_23,,,0.0,0.0
image_24,,,0.0,0.0
image_25,0.8582711715664765,0.42913558578323824,0.9878787878787879,3.0
image_26,,,0.0,0.0
image_27,,,0.0,0.0
image_28,,,0.0,0.0
image_29,,,0.0,0.0
image_30,0.7032072286763976,0.3516036143381988,0.9478051391862955,5.477225575051661
image_31,,,0.0,0.0
image_32,,,0.0,0.0
image_33,,,0.0,0.0
image_34,0.0,0.0,0.0,9.219544457292887
image_35,,,0.0,0.0
image_36,0.0,0.0,0.0,6.48074069840786
image_37,,,0.0,0.0
image_38,,,0.0,0.0
image_39,,,0.0,0.0
image_40,0.4186666666666667,0.20933333333333334,0.8177083333333334,2.8284271247461903
image_41,,,0.0,0.0
image_42,0.0,0.0,0.0,6.48074069840786
image_43,0.8930817610062893,0.44654088050314467,0.8830845771144279,4.123105625617661
image_44,,,0.0,0.0
image_45,,,0.0,0.0
image_46,,,0.0,0.0
image_47,0.9140853302162478,0.4570426651081239,0.972636815920398,3.7416573867739413
image_48,,,0.0,0.0
image_49,,,0.0,0.0
image_50,0.8529136218849541,0.42645681094247706,0.800844475721323,4.58257569495584
image_51,0.7771995837002642,0.3885997918501321,0.9873881204231082,4.795831523312719
image_52,,,0.0,0.0
image_53,,,0.0,0.0
image_54,,,0.0,0.0
image_55,0.48668384879725085,0.24334192439862543,0.38225371120107965,5.385164807134504
image_56,,,0.0,0.0
image_57,,,0.0,0.0
image_58,,,0.0,0.0
image_59,,,0.0,0.0
image_60,,,0.0,0.0
image_61,0.0,0.0,0.0,6.324555320336759
image_62,,,0.0,0.0
image_63,,,0.0,0.0
image_64,,,0.0,0.0
image_65,,,0.0,0.0
image_66,0.7671957671957672,0.3835978835978836,0.9283536585365854,5.916079783099616
image_67,,,0.0,0.0
image_68,,,0.0,0.0
image_69,0.9501784281722869,0.47508921408614346,0.9467475192943771,4.795831523312719
image_70,,,0.0,0.0
image_71,,,0.0,0.0
image_72,,,0.0,0.0
image_73,0.9626832763752619,0.4813416381876309,0.9661982739544147,3.1622776601683795
image_74,0.0,0.0,0.0,7.3484692283495345
image_75,,,0.0,0.0
image_76,,,0.0,0.0
image_77,,,0.0,0.0
image_78,,,0.0,0.0
image_79,0.9060822333101749,0.45304111665508745,0.9272233712512926,4.358898943540674
image_80,0.9256937571025331,0.46284687855126655,0.9969993682880607,5.830951894845301
image_81,0.9257213014119091,0.46286065070595456,0.9921052631578947,2.449489742783178
image_82,,,0.0,0.0
image_83,,,0.0,0.0
image_84,,,0.0,0.0
image_85,,,0.0,0.0
image_86,0.0,0.0,0.0,5.477225575051661
image_87,0.0,0.0,0.0,5.385164807134504
image_88,,,0.0,0.0
image_89,,,0.0,0.0
image_90,0.8542906120802662,0.4271453060401331,0.9671232876712329,5.291502622129181
image_91,0.9423401688781665,0.47117008443908326,0.9779669504256384,3.3166247903554
image_92,0.0,0.0,0.0,4.242640687119285
image_93,,,0.0,0.0
image_94,,,0.0,0.0
image_95,,,0.0,0.0
image_96,,,0.0,0.0
image_97,0.7956109861650651,0.39780549308253255,0.9913383152173914,4.242640687119285
image_98,0.9359026042086592,0.4679513021043296,0.9850644942294636,4.58257569495584
