Image,Dice Score,IoU,Recall,Hausdorff Distance
image_0,,,0.0,0.0
image_1,0.0,0.0,0.0,4.69041575982343
image_2,,,0.0,0.0
image_3,0.9153337969401947,0.45766689847009734,0.8552631578947368,3.1622776601683795
image_4,,,0.0,0.0
image_5,,,0.0,0.0
image_6,0.7660646271040669,0.38303231355203343,0.6502920317062996,6.48074069840786
image_7,,,0.0,0.0
image_8,0.9231366459627329,0.46156832298136646,0.975907686365392,5.744562646538029
image_9,,,0.0,0.0
image_10,0.8417714829299229,0.42088574146496144,0.97216796875,4.358898943540674
image_11,,,0.0,0.0
image_12,,,0.0,0.0
image_13,,,0.0,0.0
image_14,,,0.0,0.0
image_15,,,0.0,0.0
image_16,0.8696998472399984,0.4348499236199992,0.9373887504449983,7.14142842854285
image_17,0.0,0.0,0.0,5.291502622129181
image_18,,,0.0,0.0
image_19,,,0.0,0.0
image_20,,,0.0,0.0
image_21,0.8584631918323482,0.4292315959161741,0.8224876441515651,5.196152422706632
image_22,0.7788112192995205,0.38940560964976023,0.6522638753651412,6.164414002968976
image_23,,,0.0,0.0
image_24,,,0.0,0.0
image_25,0.8719955282280604,0.4359977641140302,0.7878787878787878,3.605551275463989
image_26,,,0.0,0.0
image_27,,,0.0,0.0
image_28,,,0.0,0.0
image_29,,,0.0,0.0
image_30,0.6262199089134678,0.3131099544567339,0.5152569593147751,5.477225575051661
image_31,,,0.0,0.0
image_32,,,0.0,0.0
image_33,,,0.0,0.0
image_34,0.0,0.0,0.0,8.602325267042627
image_35,,,0.0,0.0
image_36,0.0,0.0,0.0,6.48074069840786
image_37,,,0.0,0.0
image_38,,,0.0,0.0
image_39,,,0.0,0.0
image_40,0.0,0.0,0.0,4.69041575982343
image_41,,,0.0,0.0
image_42,0.0,0.0,0.0,6.48074069840786
image_43,0.5484089370345294,0.2742044685172647,0.37779850746268656,5.5677643628300215
image_44,,,0.0,0.0
image_45,,,0.0,0.0
image_46,,,0.0,0.0
image_47,0.9282402741382786,0.4641201370691393,0.9546019900497512,2.8284271247461903
image_48,,,0.0,0.0
image_49,,,0.0,0.0
image_50,0.8507036896158235,0.42535184480791177,0.7869458128078818,4.58257569495584
image_51,0.7949204254968253,0.39746021274841264,0.9804719283970708,4.898979485566356
image_52,,,0.0,0.0
image_53,,,0.0,0.0
image_54,,,0.0,0.0
image_55,0.4852240228789323,0.24261201143946615,0.3434547908232119,5.0
image_56,,,0.0,0.0
image_57,,,0.0,0.0
image_58,,,0.0,0.0
image_59,,,0.0,0.0
image_60,,,0.0,0.0
image_61,0.0,0.0,0.0,6.324555320336759
image_62,,,0.0,0.0
image_63,,,0.0,0.0
image_64,,,0.0,0.0
image_65,,,0.0,0.0
image_66,0.76329823601805,0.381649118009025,0.8509146341463415,6.557438524302
image_67,,,0.0,0.0
image_68,,,0.0,0.0
image_69,0.942960489705064,0.471480244852532,0.9341234840132304,5.291502622129181
image_70,,,0.0,0.0
image_71,,,0.0,0.0
image_72,,,0.0,0.0
image_73,0.9572902131385264,0.4786451065692632,0.9678026111971675,3.872983346207417
image_74,0.0,0.0,0.0,7.3484692283495345
image_75,,,0.0,0.0
image_76,,,0.0,0.0
image_77,,,0.0,0.0
image_78,,,0.0,0.0
image_79,0.881781838949172,0.440890919474586,0.8981385729058945,4.123105625617661
image_80,0.9170745963322862,0.4585372981661431,0.9911560328490209,5.830951894845301
image_81,0.9283176270662753,0.46415881353313765,0.9883223684210526,2.6457513110645907
image_82,,,0.0,0.0
image_83,,,0.0,0.0
image_84,,,0.0,0.0
image_85,,,0.0,0.0
image_86,0.0,0.0,0.0,5.477225575051661
image_87,0.0,0.0,0.0,4.242640687119285
image_88,,,0.0,0.0
image_89,,,0.0,0.0
image_90,0.8798944126704795,0.43994720633523976,0.91324200913242,5.291502622129181
image_91,0.9546231251186634,0.4773115625593317,0.9441662493740611,3.1622776601683795
image_92,0.0,0.0,0.0,6.324555320336759
image_93,,,0.0,0.0
image_94,,,0.0,0.0
image_95,,,0.0,0.0
image_96,,,0.0,0.0
image_97,0.8215602836879433,0.41078014184397166,0.9836956521739131,4.242640687119285
image_98,0.9528563040013421,0.47642815200067107,0.9639341479972845,4.47213595499958
