Image,Dice Score,IoU,Recall,Hausdorff Distance
image_0,,,0.0,0.0
image_1,0.18443427076520602,0.09221713538260301,0.47635135135135137,4.898979485566356
image_2,,,0.0,0.0
image_3,0.9243061396131202,0.4621530698065601,0.8926250812215725,2.8284271247461903
image_4,,,0.0,0.0
image_5,,,0.0,0.0
image_6,0.7965441301033372,0.3982720650516686,0.7356070087609512,6.244997998398398
image_7,,,0.0,0.0
image_8,0.9024821128875541,0.45124105644377704,0.9865778292777134,5.656854249492381
image_9,,,0.0,0.0
image_10,0.7226756564939674,0.3613378282469837,0.994384765625,5.291502622129181
image_11,,,0.0,0.0
image_12,,,0.0,0.0
image_13,,,0.0,0.0
image_14,,,0.0,0.0
image_15,,,0.0,0.0
image_16,0.8573465346534653,0.42867326732673267,0.9633321466714133,6.855654600401044
image_17,0.0,0.0,0.0,5.291502622129181
image_18,,,0.0,0.0
image_19,,,0.0,0.0
image_20,,,0.0,0.0
image_21,0.7541145490454246,0.3770572745227123,0.9435749588138386,5.0
image_22,0.8683397206082334,0.4341698603041167,0.8549172346640701,5.916079783099616
image_23,,,0.0,0.0
image_24,,,0.0,0.0
image_25,0.6634277098341431,0.33171385491707156,1.0,4.123105625617661
image_26,,,0.0,0.0
image_27,,,0.0,0.0
image_28,,,0.0,0.0
image_29,,,0.0,0.0
image_30,0.2347949080622348,0.1173974540311174,0.13329764453961457,7.3484692283495345
image_31,,,0.0,0.0
image_32,,,0.0,0.0
image_33,,,0.0,0.0
image_34,0.0,0.0,0.0,10.488088481701515
image_35,,,0.0,0.0
image_36,0.0,0.0,0.0,6.48074069840786
image_37,,,0.0,0.0
image_38,,,0.0,0.0
image_39,,,0.0,0.0
image_40,0.0,0.0,0.0,4.69041575982343
image_41,,,0.0,0.0
image_42,0.0,0.0,0.0,6.48074069840786
image_43,0.8630769230769231,0.43153846153846154,0.8722014925373134,4.242640687119285
image_44,,,0.0,0.0
image_45,,,0.0,0.0
image_46,,,0.0,0.0
image_47,0.9193418940609952,0.4596709470304976,0.9498341625207297,3.1622776601683795
image_48,,,0.0,0.0
image_49,,,0.0,0.0
image_50,0.8616079834306157,0.43080399171530787,0.8050668543279381,4.123105625617661
image_51,0.7821021118213448,0.3910510559106724,0.9831163547599675,4.898979485566356
image_52,,,0.0,0.0
image_53,,,0.0,0.0
image_54,,,0.0,0.0
image_55,0.5740318906605922,0.2870159453302961,0.9352226720647774,4.795831523312719
image_56,,,0.0,0.0
image_57,,,0.0,0.0
image_58,,,0.0,0.0
image_59,,,0.0,0.0
image_60,,,0.0,0.0
image_61,0.0,0.0,0.0,6.324555320336759
image_62,,,0.0,0.0
image_63,,,0.0,0.0
image_64,,,0.0,0.0
image_65,,,0.0,0.0
image_66,0.7491185245457012,0.3745592622728506,0.8420731707317073,6.4031242374328485
image_67,,,0.0,0.0
image_68,,,0.0,0.0
image_69,0.9430907256994213,0.47154536284971066,0.9793274531422271,5.385164807134504
image_70,,,0.0,0.0
image_71,,,0.0,0.0
image_72,,,0.0,0.0
image_73,0.9536024745346915,0.47680123726734575,0.9892122150918344,3.4641016151377544
image_74,0.0,0.0,0.0,7.3484692283495345
image_75,,,0.0,0.0
image_76,,,0.0,0.0
image_77,,,0.0,0.0
image_78,,,0.0,0.0
image_79,0.9345127888637454,0.4672563944318727,0.8808169596690796,4.123105625617661
image_80,0.9295961156477599,0.46479805782387995,0.9977890082122552,5.196152422706632
image_81,0.9228067496373216,0.4614033748186608,0.9939144736842105,2.449489742783178
image_82,,,0.0,0.0
image_83,,,0.0,0.0
image_84,,,0.0,0.0
image_85,,,0.0,0.0
image_86,0.0,0.0,0.0,5.477225575051661
image_87,0.0,0.0,0.0,5.477225575051661
image_88,,,0.0,0.0
image_89,,,0.0,0.0
image_90,0.8534526594121835,0.42672632970609176,0.9579908675799087,5.291502622129181
image_91,0.948838358872961,0.4744191794364805,0.9611917876815222,3.3166247903554
image_92,0.0,0.0,0.0,6.4031242374328485
image_93,,,0.0,0.0
image_94,,,0.0,0.0
image_95,,,0.0,0.0
image_96,0.0,0.0,0.0,2.0
image_97,0.8430117023625524,0.4215058511812762,0.97265625,3.605551275463989
image_98,0.9458996328029375,0.47294981640146877,0.9837067209775967,4.47213595499958
