Image,Dice Score,IoU,Recall,Hausdorff Distance
image_0,,,0.0,0.0
image_1,0.0,0.0,0.0,4.69041575982343
image_2,,,0.0,0.0
image_3,0.9151285292878213,0.45756426464391065,0.8819038336582197,3.4641016151377544
image_4,,,0.0,0.0
image_5,,,0.0,0.0
image_6,0.8077246011754828,0.4038623005877414,0.7525031289111389,6.0
image_7,,,0.0,0.0
image_8,0.9320079522862823,0.46600397614314115,0.9619544225569718,5.916079783099616
image_9,,,0.0,0.0
image_10,0.8718127837932239,0.43590639189661196,0.9140625,4.358898943540674
image_11,,,0.0,0.0
image_12,,,0.0,0.0
image_13,,,0.0,0.0
image_14,,,0.0,0.0
image_15,,,0.0,0.0
image_16,0.8647293584421314,0.4323646792210657,0.9593716625133499,7.0710678118654755
image_17,0.0,0.0,0.0,5.291502622129181
image_18,,,0.0,0.0
image_19,,,0.0,0.0
image_20,,,0.0,0.0
image_21,0.8506815365551424,0.4253407682775712,0.8482289950576606,5.291502622129181
image_22,0.8618734111205267,0.43093670556026337,0.8046494644595911,5.916079783099616
image_23,,,0.0,0.0
image_24,,,0.0,0.0
image_25,0.9020286986640277,0.45101434933201384,0.9207070707070707,3.3166247903554
image_26,,,0.0,0.0
image_27,,,0.0,0.0
image_28,,,0.0,0.0
image_29,,,0.0,0.0
image_30,0.6950777754101853,0.34753888770509267,0.8731263383297645,5.477225575051661
image_31,,,0.0,0.0
image_32,,,0.0,0.0
image_33,,,0.0,0.0
image_34,0.0,0.0,0.0,8.660254037844387
image_35,,,0.0,0.0
image_36,0.0,0.0,0.0,6.48074069840786
image_37,,,0.0,0.0
image_38,,,0.0,0.0
image_39,,,0.0,0.0
image_40,0.0,0.0,0.0,4.69041575982343
image_41,,,0.0,0.0
image_42,0.0,0.0,0.0,6.48074069840786
image_43,0.7840991976659373,0.39204959883296864,0.6685323383084577,4.242640687119285
image_44,,,0.0,0.0
image_45,,,0.0,0.0
image_46,,,0.0,0.0
image_47,0.9159523105724702,0.4579761552862351,0.9635157545605307,3.7416573867739413
image_48,,,0.0,0.0
image_49,,,0.0,0.0
image_50,0.8384118190212373,0.41920590951061865,0.7987332864180154,5.291502622129181
image_51,0.8177937158469946,0.4088968579234973,0.9741659886086249,4.69041575982343
image_52,,,0.0,0.0
image_53,,,0.0,0.0
image_54,,,0.0,0.0
image_55,0.6173684811137738,0.3086842405568869,0.9126180836707153,4.123105625617661
image_56,,,0.0,0.0
image_57,,,0.0,0.0
image_58,,,0.0,0.0
image_59,,,0.0,0.0
image_60,,,0.0,0.0
image_61,0.0,0.0,0.0,6.324555320336759
image_62,,,0.0,0.0
image_63,,,0.0,0.0
image_64,,,0.0,0.0
image_65,,,0.0,0.0
image_66,0.7741852707210675,0.38709263536053373,0.9198170731707317,6.082762530298219
image_67,,,0.0,0.0
image_68,,,0.0,0.0
image_69,0.9384040670729995,0.46920203353649975,0.9208930540242558,5.0990195135927845
image_70,,,0.0,0.0
image_71,,,0.0,0.0
image_72,,,0.0,0.0
image_73,0.9596985583224116,0.4798492791612058,0.9722283691082098,3.872983346207417
image_74,0.0,0.0,0.0,7.3484692283495345
image_75,,,0.0,0.0
image_76,,,0.0,0.0
image_77,,,0.0,0.0
image_78,,,0.0,0.0
image_79,0.9013770491803279,0.45068852459016395,0.8884436401240952,4.242640687119285
image_80,0.9423191870890616,0.4711595935445308,0.9958938723941883,5.744562646538029
image_81,0.9403658826324542,0.4701829413162271,0.9764802631578947,2.6457513110645907
image_82,,,0.0,0.0
image_83,,,0.0,0.0
image_84,,,0.0,0.0
image_85,,,0.0,0.0
image_86,0.0,0.0,0.0,5.477225575051661
image_87,0.0,0.0,0.0,5.477225575051661
image_88,,,0.0,0.0
image_89,,,0.0,0.0
image_90,0.9074471691716578,0.4537235845858289,0.9166666666666666,5.0
image_91,0.9551527316063476,0.4775763658031738,0.9531797696544817,3.3166247903554
image_92,,,0.0,0.0
image_93,,,0.0,0.0
image_94,,,0.0,0.0
image_95,,,0.0,0.0
image_96,,,0.0,0.0
image_97,0.8638009049773756,0.4319004524886878,0.97265625,4.358898943540674
image_98,0.9513531462726216,0.4756765731363108,0.9725050916496945,4.47213595499958
