Image,Dice Score,IoU,Recall,Hausdorff Distance
image_0,,,0.0,0.0
image_1,0.17916891527253104,0.08958445763626552,0.5608108108108109,5.0
image_2,,,0.0,0.0
image_3,0.9304723885562209,0.46523619427811047,0.9087069525666017,3.0
image_4,,,0.0,0.0
image_5,,,0.0,0.0
image_6,0.7971562894163513,0.39857814470817565,0.7250730079265749,6.244997998398398
image_7,,,0.0,0.0
image_8,0.8910808982388757,0.44554044911943785,0.9857087678640402,6.164414002968976
image_9,,,0.0,0.0
image_10,0.6722468406367963,0.33612342031839815,1.0,5.477225575051661
image_11,0.0,0.0,0.0,5.0
image_12,,,0.0,0.0
image_13,,,0.0,0.0
image_14,,,0.0,0.0
image_15,0.0,0.0,0.0,2.6457513110645907
image_16,0.8817631608998515,0.44088158044992576,0.8590245639017444,7.280109889280518
image_17,0.0,0.0,0.0,5.291502622129181
image_18,,,0.0,0.0
image_19,,,0.0,0.0
image_20,,,0.0,0.0
image_21,0.5023084025854109,0.25115420129270544,0.33607907742998355,6.48074069840786
image_22,0.8712201840606023,0.43561009203030115,0.8468841285296982,5.916079783099616
image_23,,,0.0,0.0
image_24,,,0.0,0.0
image_25,0.8667122351332878,0.4333561175666439,0.9606060606060606,3.0
image_26,,,0.0,0.0
image_27,,,0.0,0.0
image_28,,,0.0,0.0
image_29,,,0.0,0.0
image_30,0.6169010001449485,0.30845050007247427,0.569593147751606,6.4031242374328485
image_31,0.0,0.0,0.0,3.872983346207417
image_32,,,0.0,0.0
image_33,,,0.0,0.0
image_34,0.0,0.0,0.0,11.045361017187261
image_35,,,0.0,0.0
image_36,0.0,0.0,0.0,6.48074069840786
image_37,,,0.0,0.0
image_38,,,0.0,0.0
image_39,,,0.0,0.0
image_40,0.5,0.25,0.5833333333333334,3.7416573867739413
image_41,,,0.0,0.0
image_42,0.0,0.0,0.0,6.48074069840786
image_43,0.7638240353895306,0.3819120176947653,0.9664179104477612,4.242640687119285
image_44,,,0.0,0.0
image_45,,,0.0,0.0
image_46,0.0,0.0,0.0,5.830951894845301
image_47,0.9025395304264494,0.4512697652132247,0.9761608623548922,3.1622776601683795
image_48,,,0.0,0.0
image_49,,,0.0,0.0
image_50,0.8446330407946765,0.42231652039733825,0.7704081632653061,4.47213595499958
image_51,0.7648853767310853,0.3824426883655426,0.9943043124491456,4.69041575982343
image_52,,,0.0,0.0
image_53,,,0.0,0.0
image_54,,,0.0,0.0
image_55,0.6466658853861479,0.32333294269307394,0.9308367071524967,4.123105625617661
image_56,,,0.0,0.0
image_57,,,0.0,0.0
image_58,,,0.0,0.0
image_59,,,0.0,0.0
image_60,,,0.0,0.0
image_61,0.0,0.0,0.0,6.324555320336759
image_62,,,0.0,0.0
image_63,,,0.0,0.0
image_64,,,0.0,0.0
image_65,,,0.0,0.0
image_66,0.7516745224510047,0.3758372612255024,0.9237804878048781,6.0
image_67,,,0.0,0.0
image_68,,,0.0,0.0
image_69,0.9482060965740491,0.47410304828702454,0.9688533627342889,5.291502622129181
image_70,,,0.0,0.0
image_71,,,0.0,0.0
image_72,0.0,0.0,0.0,1.7320508075688772
image_73,0.9603973760224603,0.48019868801123017,0.9840672715202479,3.1622776601683795
image_74,0.0,0.0,0.0,7.3484692283495345
image_75,,,0.0,0.0
image_76,,,0.0,0.0
image_77,,,0.0,0.0
image_78,,,0.0,0.0
image_79,0.9248395334391607,0.46241976671958035,0.8660806618407446,4.242640687119285
image_80,0.9092476826902349,0.45462384134511746,0.9992103600758054,5.744562646538029
image_81,0.9002743382516497,0.45013716912582485,0.9985197368421053,2.449489742783178
image_82,,,0.0,0.0
image_83,,,0.0,0.0
image_84,,,0.0,0.0
image_85,,,0.0,0.0
image_86,0.0,0.0,0.0,5.477225575051661
image_87,0.0,0.0,0.0,5.744562646538029
image_88,,,0.0,0.0
image_89,,,0.0,0.0
image_90,0.8601341736125229,0.43006708680626143,0.9659817351598173,4.795831523312719
image_91,0.9429680863972819,0.47148404319864096,0.9728342513770656,3.3166247903554
image_92,0.0,0.0,0.0,6.6332495807108
image_93,,,0.0,0.0
image_94,,,0.0,0.0
image_95,,,0.0,0.0
image_96,,,0.0,0.0
image_97,0.8728198796110511,0.43640993980552556,0.9604279891304348,3.7416573867739413
image_98,0.9527305725127867,0.47636528625639335,0.9800577053632044,4.58257569495584
